date,predict
2022-11-05,0.889
2022-11-06,0.333
2022-11-07,1.0
2022-11-08,0.947
2022-11-09,0.833
2022-11-10,0.704
2022-11-11,0.852
2022-11-12,0.75
2022-11-13,0.556
2022-11-14,0.641
2022-11-15,0.812
2022-11-16,0.927
2022-11-17,1.032
2022-11-18,0.862
2022-11-19,1.0
2022-11-20,1.0
2022-11-21,0.909
2022-11-22,0.938
2022-11-23,0.967
2022-11-24,0.824
2022-11-25,0.909
2022-11-26,1.5
2022-11-27,1.2
2022-11-28,1.048
2022-11-29,1.071
2022-11-30,0.951
2022-12-01,0.895
2022-12-02,1.048
2022-12-03,1.0
2022-12-04,0.625
2022-12-05,1.097
2022-12-06,0.867
2022-12-07,0.833
2022-12-08,1.0
2022-12-09,0.857
2022-12-10,0.929
2022-12-11,1.375
2022-12-12,1.069
2022-12-13,1.029
2022-12-14,0.885
2022-12-15,0.828
2022-12-16,0.935
2022-12-17,1.333
2022-12-18,0.333
2022-12-19,1.083
2022-12-20,0.739
2022-12-21,0.652
2022-12-22,0.962
2022-12-23,1.118
2022-12-24,0.667
2022-12-25,0.75
2022-12-26,0.429
2022-12-27,1.0
2022-12-28,1.0
2022-12-29,1.042
2022-12-30,0.556
2022-12-31,1.0
2023-01-01,1.3
2023-01-02,1.188
2023-01-03,1.156
2023-01-04,0.949
2023-01-05,1.051
2023-01-06,0.643
2023-01-07,1.0
2023-01-08,1.154
2023-01-09,1.054
2023-01-10,0.959
2023-01-11,0.911
2023-01-12,0.964
2023-01-13,1.062
2023-01-14,1.0
2023-01-15,1.2
2023-01-16,0.952
2023-01-17,0.688
2023-01-18,1.19
2023-01-19,0.837
2023-01-20,1.045
2023-01-21,1.5
2023-01-22,1.0
2023-01-23,0.857
2023-01-24,0.947
2023-01-25,0.647
2023-01-26,1.0
2023-01-27,0.926
2023-01-28,1.0
2023-01-29,0.8
2023-01-30,0.733
2023-01-31,0.868
2023-02-01,1.023
2023-02-02,0.919
2023-02-03,1.033
2023-02-04,0.833
2023-02-05,0.556
2023-02-06,1.107
2023-02-07,0.788
2023-02-08,1.044
2023-02-09,0.842
2023-02-10,0.875
2023-02-11,0.75
2023-02-12,1.0
2023-02-13,1.062
2023-02-14,0.864
2023-02-15,0.865
2023-02-16,0.8
2023-02-17,0.875
2023-02-18,1.167
2023-02-19,0.909
2023-02-20,0.7
2023-02-21,1.05
2023-02-22,0.711
2023-02-23,1.152
2023-02-24,0.6
2023-02-25,1.0
2023-02-26,1.125
2023-02-27,0.973
2023-02-28,0.933
2023-03-01,0.941
2023-03-02,1.026
2023-03-03,0.947
2023-03-04,1.0
2023-03-05,1.083
2023-03-06,0.821
2023-03-07,0.957
2023-03-08,1.0
2023-03-09,0.838
2023-03-10,1.0
2023-03-11,1.286
2023-03-12,0.8
2023-03-13,1.318
2023-03-14,1.031
2023-03-15,0.902
2023-03-16,0.926
2023-03-17,0.826
2023-03-18,1.444
2023-03-19,0.5
2023-03-20,0.864
2023-03-21,1.0
2023-03-22,0.778
2023-03-23,0.75
2023-03-24,1.261
2023-03-25,1.0
2023-03-26,0.6
2023-03-27,1.061
2023-03-28,1.097
2023-03-29,0.861
2023-03-30,0.846
2023-03-31,0.789
2023-04-01,1.0
2023-04-02,0.0
2023-04-03,0.862
2023-04-04,1.0
2023-04-05,1.033
2023-04-06,1.217
2023-04-07,0.789
2023-04-08,1.0
2023-04-09,1.0
2023-04-10,0.933
2023-04-11,1.4
2023-04-12,0.889
2023-04-13,0.969
2023-04-14,1.154
2023-04-15,1.2
2023-04-16,0.6
2023-04-17,1.139
2023-04-18,0.871
2023-04-19,0.931
2023-04-20,0.886
2023-04-21,1.0
2023-04-22,0.8
2023-04-23,0.5
2023-04-24,0.692
2023-04-25,0.844
2023-04-26,0.911
2023-04-27,0.976
2023-04-28,1.1
2023-04-29,1.0
2023-04-30,1.0
2023-05-01,1.0
2023-05-02,0.792
2023-05-03,1.031
2023-05-04,1.05
2023-05-05,0.84
2023-05-06,1.0
2023-05-07,1.0
2023-05-08,1.182
2023-05-09,0.92
2023-05-10,1.094
2023-05-11,0.727
2023-05-12,0.938
2023-05-13,1.0
2023-05-14,0.8
2023-05-15,0.86
2023-05-16,0.8
2023-05-17,1.029
2023-05-18,0.949
2023-05-19,0.958
2023-05-20,0.667
2023-05-21,1.0
2023-05-22,1.0
2023-05-23,0.882
2023-05-24,0.731
2023-05-25,0.816
2023-05-26,1.188
2023-05-27,1.6
2023-05-28,0.75
2023-05-29,1.1
2023-05-30,1.0
2023-05-31,1.111
2023-06-01,0.895
2023-06-02,0.848
2023-06-03,1.0
2023-06-04,0.5
2023-06-05,0.522
2023-06-06,1.045
2023-06-07,1.071
2023-06-08,0.784
2023-06-09,0.889
2023-06-10,1.25
2023-06-11,0.667
2023-06-12,1.083
2023-06-13,0.833
2023-06-14,1.133
2023-06-15,1.083
2023-06-16,0.897
2023-06-17,0.897
2023-06-18,1.0
2023-06-19,0.75
2023-06-20,1.0
2023-06-21,0.914
2023-06-22,1.083
2023-06-23,0.704
2023-06-24,0.25
2023-06-25,0.75
2023-06-26,0.861
2023-06-27,1.111
2023-06-28,0.911
2023-06-29,0.788
2023-06-30,0.931
2023-07-01,0.833
2023-07-02,1.0
2023-07-03,0.8
2023-07-04,0.857
2023-07-05,0.909
2023-07-06,0.885
2023-07-07,0.846
2023-07-08,0.538
2023-07-09,0.667
2023-07-10,0.833
2023-07-11,0.806
2023-07-12,0.932
2023-07-13,1.077
2023-07-14,0.778
2023-07-15,1.143
2023-07-16,0.5
2023-07-17,0.7
2023-07-18,0.902
2023-07-19,0.893
2023-07-20,1.065
2023-07-21,1.045
2023-07-22,0.857
2023-07-23,1.0
2023-07-24,1.182
2023-07-25,1.114
2023-07-26,1.25
2023-07-27,1.094
2023-07-28,1.136
2023-07-29,0.8
2023-07-30,1.0
2023-07-31,1.118
2023-08-01,0.846
2023-08-02,1.094
2023-08-03,0.839
2023-08-04,0.737
2023-08-05,1.167
2023-08-06,0.909
2023-08-07,1.095
2023-08-08,0.941
2023-08-09,0.907
2023-08-10,1.125
2023-08-11,0.826
2023-08-12,1.0
2023-08-13,1.0
2023-08-14,0.974
2023-08-15,1.037
2023-08-16,1.027
2023-08-17,0.946
2023-08-18,0.926
2023-08-19,0.833
2023-08-20,1.5
2023-08-21,1.0
2023-08-22,1.073
2023-08-23,0.68
2023-08-24,1.029
2023-08-25,0.944
2023-08-26,1.333
2023-08-27,1.333
2023-08-28,1.222
2023-08-29,0.972
2023-08-30,1.03
2023-08-31,0.9
2023-09-01,0.783
2023-09-02,0.25
2023-09-03,0.8
2023-09-04,0.75
2023-09-05,1.089
2023-09-06,1.094
2023-09-07,1.143
2023-09-08,1.025
2023-09-09,0.8
2023-09-10,0.714
2023-09-11,0.913
2023-09-12,0.805
2023-09-13,0.767
2023-09-14,1.026
2023-09-15,0.792
2023-09-16,0.8
2023-09-17,1.75
2023-09-18,1.087
2023-09-19,1.057
2023-09-20,0.773
2023-09-21,1.227
2023-09-22,0.7
2023-09-23,1.0
2023-09-24,1.5
2023-09-25,1.0
2023-09-26,0.9
2023-09-27,0.972
2023-09-28,1.0
2023-09-29,1.107
2023-09-30,1.25
2023-10-01,1.0
2023-10-02,0.733
2023-10-03,1.036
2023-10-04,0.879
2023-10-05,0.852
2023-10-06,0.735
2023-10-07,0.8
2023-10-08,0.8
2023-10-09,1.235
2023-10-10,0.467
2023-10-11,1.105
2023-10-12,1.116
2023-10-13,1.095
2023-10-14,0.75
2023-10-15,1.5
2023-10-16,0.879
2023-10-17,0.939
2023-10-18,0.963
2023-10-19,0.774
2023-10-20,1.067
2023-10-21,1.0
2023-10-22,0.5
2023-10-23,0.75
2023-10-24,0.824
2023-10-25,0.969
2023-10-26,0.838
2023-10-27,0.833
2023-10-28,0.5
2023-10-29,0.75
2023-10-30,0.719
2023-10-31,0.973
2023-11-01,0.718
2023-11-02,0.816
2023-11-03,0.676
2023-11-04,0.7
2023-11-05,0.5
2023-11-06,0.812
2023-11-07,0.923
2023-11-08,1.056
2023-11-09,1.138
2023-11-10,0.957
2023-11-11,1.0
2023-11-12,0.8
2023-11-13,0.968
2023-11-14,0.929
2023-11-15,0.898
2023-11-16,0.788
2023-11-17,0.87
2023-11-18,0.4
2023-11-19,0.8
2023-11-20,0.952
2023-11-21,0.973
2023-11-22,0.826
2023-11-23,0.667
2023-11-24,0.636
2023-11-25,1.5
2023-11-26,0.929
2023-11-27,0.808
2023-11-28,1.167
2023-11-29,0.781
2023-11-30,0.787
2023-12-01,0.852
2023-12-02,0.857
2023-12-03,0.857
2023-12-04,0.917
2023-12-05,0.886
2023-12-06,1.0
2023-12-07,0.812
2023-12-08,0.871
2023-12-09,0.667
2023-12-10,1.0
2023-12-11,0.727
2023-12-12,1.361
2023-12-13,1.147
2023-12-14,0.818
2023-12-15,0.913
2023-12-16,1.0
2023-12-17,0.8
2023-12-18,0.926
2023-12-19,0.952
2023-12-20,0.842
2023-12-21,0.968
2023-12-22,0.967
2023-12-23,1.429
2023-12-24,1.333
2023-12-25,0.667
2023-12-26,1.1
2023-12-27,0.818
2023-12-28,0.867
2023-12-29,0.9
2023-12-30,0.9
2023-12-31,0.333
2024-01-01,1.0
2024-01-02,0.944
2024-01-03,1.047
2024-01-04,0.914
2024-01-05,0.913
2024-01-06,2.0
2024-01-07,0.824
2024-01-08,0.857
2024-01-09,0.923
2024-01-10,1.075
2024-01-11,0.795
2024-01-12,0.899
2024-01-13,0.875
2024-01-14,0.778
2024-01-15,0.962
2024-01-16,0.737
2024-01-17,1.043
2024-01-18,0.902
2024-01-19,0.756
2024-01-20,1.071
2024-01-21,0.6
2024-01-22,0.848
2024-01-23,1.04
2024-01-24,0.927
2024-01-25,0.821
2024-01-26,0.875
2024-01-27,0.857
2024-01-28,0.875
2024-01-29,1.0
2024-01-30,0.861
